original_configID,selected_configID,time
ace687c6da132c7439da078f9cc24365be26c9d31687e1435cca9ec2c1082470,f8f8b84533f14f1261fb0b0e825ea7bfbbdaf12a8fc1384e38cb6dcb457ef76b,2023-06-28T08:49:23.851
f8f8b84533f14f1261fb0b0e825ea7bfbbdaf12a8fc1384e38cb6dcb457ef76b,378142a4bbab52d735ad872b065f1375b2b2c69150ddaa9a17c66eb7d9e3dfde,2023-06-28T09:16:41.343
378142a4bbab52d735ad872b065f1375b2b2c69150ddaa9a17c66eb7d9e3dfde,ec7a2f1018e890b8622966638e76be2ba74cf847077e7fcc8ef63ae467403857,2023-06-28T09:25:53.773
ec7a2f1018e890b8622966638e76be2ba74cf847077e7fcc8ef63ae467403857,1c93bf80db5f20f4bd4cbc46dac8cd43b0fe6f092fdbf7056819f7e5f866b62d,2023-06-28T09:29:54.475
1c93bf80db5f20f4bd4cbc46dac8cd43b0fe6f092fdbf7056819f7e5f866b62d,0593cee389e7b6da627e6ccacd4a8f24b0746b48e2d0241df749d32801f7286b,2023-06-28T09:41:10.425
0593cee389e7b6da627e6ccacd4a8f24b0746b48e2d0241df749d32801f7286b,c5a4b5e9d4cfca29f4af22257cbbd358728c772a56d05a4983a91bcc13781de3,2023-06-28T09:45:11.097
c5a4b5e9d4cfca29f4af22257cbbd358728c772a56d05a4983a91bcc13781de3,19f073f2286c393a7bfe7d9084b5039d666dc935fb591e6e20ee04eeb96e3dcd,2023-06-28T09:49:11.643
19f073f2286c393a7bfe7d9084b5039d666dc935fb591e6e20ee04eeb96e3dcd,25a29853f22ceaafd2daedd848689a7c8dd52af07f518537c37fe2d887def8d7,2023-06-28T09:53:12.385
25a29853f22ceaafd2daedd848689a7c8dd52af07f518537c37fe2d887def8d7,5db62c2beca1b77cb052149fbe88c58bc878a5fdfcbc2303e05408aaddae0e12,2023-06-28T09:57:12.739
5db62c2beca1b77cb052149fbe88c58bc878a5fdfcbc2303e05408aaddae0e12,ddce74aabb30605296c56b599b454018deed1f15b02f886bbf356344a58471f6,2023-06-28T10:01:13.864
ddce74aabb30605296c56b599b454018deed1f15b02f886bbf356344a58471f6,ab37293d41c0457c27a3921853619f253b61cb60a1228a27be6a5e0369b781af,2023-06-28T10:05:14.763
ab37293d41c0457c27a3921853619f253b61cb60a1228a27be6a5e0369b781af,940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,2023-06-28T10:07:54.252
940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,dc17cdcd1f7c8ba4f240a013d40b494239b1844417bfe6c565d80f903c0eb443,2023-06-28T10:11:55.120
dc17cdcd1f7c8ba4f240a013d40b494239b1844417bfe6c565d80f903c0eb443,0c7bf7e965d5e98313717a8fbc299777c6e6ef23743fadec8af16ede24c749bd,2023-06-28T10:15:55.793
0c7bf7e965d5e98313717a8fbc299777c6e6ef23743fadec8af16ede24c749bd,1b0ea61972bb7faecdabb6d009b76a8311e3c1b4e70fd332829a67ab968f7935,2023-06-28T10:19:57.133
