original_configID,selected_configID,time
ace687c6da132c7439da078f9cc24365be26c9d31687e1435cca9ec2c1082470,378142a4bbab52d735ad872b065f1375b2b2c69150ddaa9a17c66eb7d9e3dfde,2023-06-28T11:39:27.124
378142a4bbab52d735ad872b065f1375b2b2c69150ddaa9a17c66eb7d9e3dfde,0593cee389e7b6da627e6ccacd4a8f24b0746b48e2d0241df749d32801f7286b,2023-06-28T11:43:28.501
0593cee389e7b6da627e6ccacd4a8f24b0746b48e2d0241df749d32801f7286b,25a29853f22ceaafd2daedd848689a7c8dd52af07f518537c37fe2d887def8d7,2023-06-28T12:30:05.338
25a29853f22ceaafd2daedd848689a7c8dd52af07f518537c37fe2d887def8d7,ec7a2f1018e890b8622966638e76be2ba74cf847077e7fcc8ef63ae467403857,2023-06-28T12:46:16.644
ec7a2f1018e890b8622966638e76be2ba74cf847077e7fcc8ef63ae467403857,19f073f2286c393a7bfe7d9084b5039d666dc935fb591e6e20ee04eeb96e3dcd,2023-06-28T12:50:17.833
19f073f2286c393a7bfe7d9084b5039d666dc935fb591e6e20ee04eeb96e3dcd,c5a4b5e9d4cfca29f4af22257cbbd358728c772a56d05a4983a91bcc13781de3,2023-06-28T12:56:41.744
c5a4b5e9d4cfca29f4af22257cbbd358728c772a56d05a4983a91bcc13781de3,1c93bf80db5f20f4bd4cbc46dac8cd43b0fe6f092fdbf7056819f7e5f866b62d,2023-06-28T13:03:35.442
1c93bf80db5f20f4bd4cbc46dac8cd43b0fe6f092fdbf7056819f7e5f866b62d,f8f8b84533f14f1261fb0b0e825ea7bfbbdaf12a8fc1384e38cb6dcb457ef76b,2023-06-28T13:10:07.641
f8f8b84533f14f1261fb0b0e825ea7bfbbdaf12a8fc1384e38cb6dcb457ef76b,1b0ea61972bb7faecdabb6d009b76a8311e3c1b4e70fd332829a67ab968f7935,2023-06-28T13:15:58.815
1b0ea61972bb7faecdabb6d009b76a8311e3c1b4e70fd332829a67ab968f7935,6c6062885622efe208a8ff042dfc12641413a5f728f475b55388cdbfa484ff1f,2023-06-28T13:22:50.303
6c6062885622efe208a8ff042dfc12641413a5f728f475b55388cdbfa484ff1f,a4f75be82c612988c63f125a1460fe911ee659bdfa154e70a6e9e6af262d1116,2023-06-28T13:26:50.506
a4f75be82c612988c63f125a1460fe911ee659bdfa154e70a6e9e6af262d1116,ab37293d41c0457c27a3921853619f253b61cb60a1228a27be6a5e0369b781af,2023-06-28T13:30:50.533
ab37293d41c0457c27a3921853619f253b61cb60a1228a27be6a5e0369b781af,ddce74aabb30605296c56b599b454018deed1f15b02f886bbf356344a58471f6,2023-06-28T13:34:50.567
ddce74aabb30605296c56b599b454018deed1f15b02f886bbf356344a58471f6,5db62c2beca1b77cb052149fbe88c58bc878a5fdfcbc2303e05408aaddae0e12,2023-06-28T13:38:50.632
5db62c2beca1b77cb052149fbe88c58bc878a5fdfcbc2303e05408aaddae0e12,0c7bf7e965d5e98313717a8fbc299777c6e6ef23743fadec8af16ede24c749bd,2023-06-28T13:42:10.217
0c7bf7e965d5e98313717a8fbc299777c6e6ef23743fadec8af16ede24c749bd,940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,2023-06-28T13:52:33.711
940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,dc17cdcd1f7c8ba4f240a013d40b494239b1844417bfe6c565d80f903c0eb443,2023-06-28T13:53:41.870
